evidence,question_code,type,question_fr,question_en,evidence_rep,meaning_fr,meaning_en
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_épaule_D_,épaule(D),shoulder(R)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_épaule_G_,épaule(G),shoulder(L)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_épigastre,épigastre,epigastric
douleurxx_intens,douleurxx,C,Quelle est l’intensité de la douleur?,How intense is the pain?,douleurxx_intens_@_0,0,0
douleurxx_intens,douleurxx,C,Quelle est l’intensité de la douleur?,How intense is the pain?,douleurxx_intens_@_1,1,1
douleurxx_intens,douleurxx,C,Quelle est l’intensité de la douleur?,How intense is the pain?,douleurxx_intens_@_10,10,10
douleurxx_intens,douleurxx,C,Quelle est l’intensité de la douleur?,How intense is the pain?,douleurxx_intens_@_2,2,2
douleurxx_intens,douleurxx,C,Quelle est l’intensité de la douleur?,How intense is the pain?,douleurxx_intens_@_3,3,3
douleurxx_intens,douleurxx,C,Quelle est l’intensité de la douleur?,How intense is the pain?,douleurxx_intens_@_4,4,4
douleurxx_intens,douleurxx,C,Quelle est l’intensité de la douleur?,How intense is the pain?,douleurxx_intens_@_5,5,5
douleurxx_intens,douleurxx,C,Quelle est l’intensité de la douleur?,How intense is the pain?,douleurxx_intens_@_6,6,6
douleurxx_intens,douleurxx,C,Quelle est l’intensité de la douleur?,How intense is the pain?,douleurxx_intens_@_7,7,7
douleurxx_intens,douleurxx,C,Quelle est l’intensité de la douleur?,How intense is the pain?,douleurxx_intens_@_8,8,8
douleurxx_intens,douleurxx,C,Quelle est l’intensité de la douleur?,How intense is the pain?,douleurxx_intens_@_9,9,9
douleurxx_irrad,douleurxx,M,Est-ce que la douleur se propage vers un autre endroit?,Does the pain radiate to another location?,douleurxx_irrad_@_arrière_de_tête,arrière de tête,back of head
douleurxx_irrad,douleurxx,M,Est-ce que la douleur se propage vers un autre endroit?,Does the pain radiate to another location?,douleurxx_irrad_@_bas_du_thorax,bas du thorax,lower chest
douleurxx_irrad,douleurxx,M,Est-ce que la douleur se propage vers un autre endroit?,Does the pain radiate to another location?,douleurxx_irrad_@_biceps_D_,biceps(D),biceps(R)
douleurxx_irrad,douleurxx,M,Est-ce que la douleur se propage vers un autre endroit?,Does the pain radiate to another location?,douleurxx_irrad_@_biceps_G_,biceps(G),biceps(L)
douleurxx_irrad,douleurxx,M,Est-ce que la douleur se propage vers un autre endroit?,Does the pain radiate to another location?,douleurxx_irrad_@_cartilage_thyroidien,cartilage thyroidien,thyroid cartilage
douleurxx_irrad,douleurxx,M,Est-ce que la douleur se propage vers un autre endroit?,Does the pain radiate to another location?,douleurxx_irrad_@_colonne_dorsale,colonne dorsale,thoracic spine
douleurxx_irrad,douleurxx,M,Est-ce que la douleur se propage vers un autre endroit?,Does the pain radiate to another location?,douleurxx_irrad_@_côté_du_thorax_D_,côté du thorax(D),side of the chest(R)
douleurxx_irrad,douleurxx,M,Est-ce que la douleur se propage vers un autre endroit?,Does the pain radiate to another location?,douleurxx_irrad_@_côté_du_thorax_G_,côté du thorax(G),side of the chest(L)
douleurxx_irrad,douleurxx,M,Est-ce que la douleur se propage vers un autre endroit?,Does the pain radiate to another location?,douleurxx_irrad_@_front,front,forehead
douleurxx_irrad,douleurxx,M,Est-ce que la douleur se propage vers un autre endroit?,Does the pain radiate to another location?,douleurxx_irrad_@_haut_du_thorax,haut du thorax,upper chest
douleurxx_irrad,douleurxx,M,Est-ce que la douleur se propage vers un autre endroit?,Does the pain radiate to another location?,douleurxx_irrad_@_menton,menton,chin
douleurxx_irrad,douleurxx,M,Est-ce que la douleur se propage vers un autre endroit?,Does the pain radiate to another location?,douleurxx_irrad_@_mâchoire,mâchoire,jaw
douleurxx_irrad,douleurxx,M,Est-ce que la douleur se propage vers un autre endroit?,Does the pain radiate to another location?,douleurxx_irrad_@_nez,nez,nose
douleurxx_irrad,douleurxx,M,Est-ce que la douleur se propage vers un autre endroit?,Does the pain radiate to another location?,douleurxx_irrad_@_nulle_part,nulle part,nowhere
douleurxx_irrad,douleurxx,M,Est-ce que la douleur se propage vers un autre endroit?,Does the pain radiate to another location?,douleurxx_irrad_@_omoplate_D_,omoplate(D),scapula(R)
douleurxx_irrad,douleurxx,M,Est-ce que la douleur se propage vers un autre endroit?,Does the pain radiate to another location?,douleurxx_irrad_@_omoplate_G_,omoplate(G),scapula(L)
douleurxx_irrad,douleurxx,M,Est-ce que la douleur se propage vers un autre endroit?,Does the pain radiate to another location?,douleurxx_irrad_@_sein_D_,sein(D),breast(R)
douleurxx_irrad,douleurxx,M,Est-ce que la douleur se propage vers un autre endroit?,Does the pain radiate to another location?,douleurxx_irrad_@_sein_G_,sein(G),breast(L)
douleurxx_irrad,douleurxx,M,Est-ce que la douleur se propage vers un autre endroit?,Does the pain radiate to another location?,douleurxx_irrad_@_sous_la_machoire,sous la machoire,under the jaw
douleurxx_irrad,douleurxx,M,Est-ce que la douleur se propage vers un autre endroit?,Does the pain radiate to another location?,douleurxx_irrad_@_tempe_D_,tempe(D),temple(R)
douleurxx_irrad,douleurxx,M,Est-ce que la douleur se propage vers un autre endroit?,Does the pain radiate to another location?,douleurxx_irrad_@_tempe_G_,tempe(G),temple(L)
douleurxx_irrad,douleurxx,M,Est-ce que la douleur se propage vers un autre endroit?,Does the pain radiate to another location?,douleurxx_irrad_@_thorax_postérieur_D_,thorax postérieur(D),posterior chest wall(R)
douleurxx_irrad,douleurxx,M,Est-ce que la douleur se propage vers un autre endroit?,Does the pain radiate to another location?,douleurxx_irrad_@_thorax_postérieur_G_,thorax postérieur(G),posterior chest wall(L)
douleurxx_irrad,douleurxx,M,Est-ce que la douleur se propage vers un autre endroit?,Does the pain radiate to another location?,douleurxx_irrad_@_trachée,trachée,trachea
douleurxx_irrad,douleurxx,M,Est-ce que la douleur se propage vers un autre endroit?,Does the pain radiate to another location?,douleurxx_irrad_@_triceps_D_,triceps(D),triceps(R)
douleurxx_irrad,douleurxx,M,Est-ce que la douleur se propage vers un autre endroit?,Does the pain radiate to another location?,douleurxx_irrad_@_triceps_G_,triceps(G),triceps(L)
douleurxx_irrad,douleurxx,M,Est-ce que la douleur se propage vers un autre endroit?,Does the pain radiate to another location?,douleurxx_irrad_@_épaule_D_,épaule(D),shoulder(R)
douleurxx_irrad,douleurxx,M,Est-ce que la douleur se propage vers un autre endroit?,Does the pain radiate to another location?,douleurxx_irrad_@_épaule_G_,épaule(G),shoulder(L)
douleurxx_precis,douleurxx,C,À quel point la douleur est-elle précisément localisée?,How precisely is the pain located?,douleurxx_precis_@_0,0,0
douleurxx_precis,douleurxx,C,À quel point la douleur est-elle précisément localisée?,How precisely is the pain located?,douleurxx_precis_@_1,1,1
douleurxx_precis,douleurxx,C,À quel point la douleur est-elle précisément localisée?,How precisely is the pain located?,douleurxx_precis_@_10,10,10
douleurxx_precis,douleurxx,C,À quel point la douleur est-elle précisément localisée?,How precisely is the pain located?,douleurxx_precis_@_2,2,2
douleurxx_precis,douleurxx,C,À quel point la douleur est-elle précisément localisée?,How precisely is the pain located?,douleurxx_precis_@_3,3,3
douleurxx_precis,douleurxx,C,À quel point la douleur est-elle précisément localisée?,How precisely is the pain located?,douleurxx_precis_@_4,4,4
douleurxx_precis,douleurxx,C,À quel point la douleur est-elle précisément localisée?,How precisely is the pain located?,douleurxx_precis_@_5,5,5
douleurxx_precis,douleurxx,C,À quel point la douleur est-elle précisément localisée?,How precisely is the pain located?,douleurxx_precis_@_6,6,6
douleurxx_precis,douleurxx,C,À quel point la douleur est-elle précisément localisée?,How precisely is the pain located?,douleurxx_precis_@_7,7,7
douleurxx_precis,douleurxx,C,À quel point la douleur est-elle précisément localisée?,How precisely is the pain located?,douleurxx_precis_@_8,8,8
douleurxx_precis,douleurxx,C,À quel point la douleur est-elle précisément localisée?,How precisely is the pain located?,douleurxx_precis_@_9,9,9
douleurxx_soudain,douleurxx,C,À quelle vitesse la douleur est-elle apparue ?,How fast did the pain appear?,douleurxx_soudain_@_0,0,0
douleurxx_soudain,douleurxx,C,À quelle vitesse la douleur est-elle apparue ?,How fast did the pain appear?,douleurxx_soudain_@_1,1,1
douleurxx_soudain,douleurxx,C,À quelle vitesse la douleur est-elle apparue ?,How fast did the pain appear?,douleurxx_soudain_@_10,10,10
douleurxx_soudain,douleurxx,C,À quelle vitesse la douleur est-elle apparue ?,How fast did the pain appear?,douleurxx_soudain_@_2,2,2
douleurxx_soudain,douleurxx,C,À quelle vitesse la douleur est-elle apparue ?,How fast did the pain appear?,douleurxx_soudain_@_3,3,3
douleurxx_soudain,douleurxx,C,À quelle vitesse la douleur est-elle apparue ?,How fast did the pain appear?,douleurxx_soudain_@_4,4,4
douleurxx_soudain,douleurxx,C,À quelle vitesse la douleur est-elle apparue ?,How fast did the pain appear?,douleurxx_soudain_@_5,5,5
douleurxx_soudain,douleurxx,C,À quelle vitesse la douleur est-elle apparue ?,How fast did the pain appear?,douleurxx_soudain_@_6,6,6
douleurxx_soudain,douleurxx,C,À quelle vitesse la douleur est-elle apparue ?,How fast did the pain appear?,douleurxx_soudain_@_7,7,7
douleurxx_soudain,douleurxx,C,À quelle vitesse la douleur est-elle apparue ?,How fast did the pain appear?,douleurxx_soudain_@_8,8,8
douleurxx_soudain,douleurxx,C,À quelle vitesse la douleur est-elle apparue ?,How fast did the pain appear?,douleurxx_soudain_@_9,9,9
drink_energie,drink_energie,B,Prenez-vous des boissons énergisantes régulièrement?,Do you consume energy drinks regularly?,drink_energie,,
drogues_IV,drogues_IV,B,Faites-vous actuellement usage de drogues intraveineuses?,Are you currently using intravenous drugs?,drogues_IV,,
drogues_stimul,drogues_stimul,B,Prenez-vous régulièrement des substances illicites stimulantes?,Do you regularly take stimulant drugs?,drogues_stimul,,
dysarthrie,dysarthrie,B,Avez-vous de la difficulté à articuler les mots?,Do you have difficulty articulating words/speaking?,dysarthrie,,
dysp_effort,dysp_effort,B,Vous sentez-vous facilement essoufflé à l’effort?,Do you feel out of breath with minimal physical effort?,dysp_effort,,
dysphagie,dysphagie,B,Avez-vous des de la difficulté à avaler ou une sensation de gêne ou de blocage lors de la déglutition?,"Do you have difficulty swallowing, or have a feeling of discomfort/blockage when swallowing?",dysphagie,,
dyspn,dyspn,B,Vous sentez-vous essoufflé ou avez vous de la difficulté à respirer de façon importante?,Are you experiencing shortness of breath or difficulty breathing in a significant way?,dyspn,,
dyspn_noct,dyspn_noct,B,Avez-vous des crises de suffocation qui vous réveille la nuit?,Do you have bouts of choking or shortness of breath that wake you up at night?,dyspn_noct,,
e10_e11,"e10, e11",B,Souffrez-vous de diabète?,Do you have diabetes?,e10_e11,,
e66,e66,B,Avez-vous un surpoids important par rapport aux personnes de la même taille que vous?,Are you significantly overweight compared to people of the same height as you?,e66,,
e78.5,e78.5,B,Souffrez-vous d’hypercholestérolémie ou prenez-vous des médicaments pour traiter un taux de cholestérol élevé?,Do you have high cholesterol or do you take medications to treat high cholesterol?,e78.5,,
eampoc1,eampoc1,B,Avez-vous eu une ou des épisodes d’aggravation ou de détérioration de votre maladie pulmonaire obstructive chronique dans la dernière année?,Have you had one or several flare ups of chronic obstructive pulmonary disease (COPD) in the past year?,eampoc1,,
ebolacase,ebolacase,B,Avez-vous été en contact avec une personne infectée par le virus Ebola dans le dernier mois?,"In the last month, have you been in contact with anyone infected with the Ebola virus?",ebolacase,,
erytheme_occ,erytheme_occ,B,Avez-vous remarqué une rougeur diffuse à un oeil ou aux 2 yeux?,Have you noticed a diffuse (widespread) redness in one or both eyes?,erytheme_occ,,
etouff,etouff,B,Avez-vous l’impression que vous étouffez ou avez-vous eu l’impression que vous étouffiez?,Do you feel like you are (or were) choking or suffocating?,etouff,,
etourdissement,etourdissement,B,Avez-vous l’impression de vous sentir légèrement étourdi ou d’avoir une impression de déséquilibre léger?,Do you feel slightly dizzy or lightheaded?,etourdissement,,
expecto,expecto,B,Avez-vous une toux produisant des crachats colorés ou plus abondants qu’habituellement?,Do you have a cough that produces colored or more abundant sputum than usual?,expecto,,
f10.129,f10.129,B,Prenez-vous de l’alcool de façon excessive ou avez-vous une dépendance à l’alcool?,Do you drink alcohol excessively or do you have an addiction to alcohol?,f10.129,,
f17.210,f17.210,B,Fumez-vous la cigarette quotidiennement?,Do you smoke cigarettes?,f17.210,,
f32,f32,B,Avez-vous déjà fait une dépression diagnostiqué par un médecin?,Have you ever been diagnosed with depression?,f32,,
f41.9,f41.9,B,Souffrez-vous d’anxiété chronique?,Do you suffer from chronic anxiety?,f41.9,,
faible,faible,B,Vous sentez-vous faible et étourdi ou avez vous l’impression que vous allez perdre conscience?,Do you feel lightheaded and dizzy or do you feel like you are about to faint?,faible,,
faiblesse faciale,faiblesse faciale,B,Avez-vous noté une faiblesse au niveau des muscles du visage et/ou des yeux?,Have you noticed weakness in your facial muscles and/or eyes?,faiblesse faciale,,
faiblesse_msmi,faiblesse_msmi,B,Avez-vous présentement une faiblesse des 2 bras et/ou des 2 jambes?,Do you feel weakness in both arms and/or both legs?,faiblesse_msmi,,
fam_atopie,fam_atopie,B,"Avez-vous des membres de votre famille proche qui souffre d’allergies (tout type), de rhume des foins ou d'eczéma?","Do you have any close family members who suffer from allergies (any type), hay fever or eczema?",fam_atopie,,
fam_j45,fam j45,B,Avez-vous des membres de votre famille qui font de l’asthme?,Do you have any family members who have asthma?,fam_j45,,
fatig_ext,fatig_ext,B,Vous sentez-vous incapable de faire vos activités ou êtes-vous cloué au lit toute la journée?,Do you feel so tired that you are unable to do your usual activities or are you stuck in your bed all day long?,fatig_ext,,
fatig_mod,fatig_mod,B,Ressentez-vous une fatigue constante ou avez-vous un sommeil non réparateur?,Do you constantly feel fatigued or do you have non-restful sleep?,fatig_mod,,
fatigabilité_msk,fatigabilité_msk,B,Est-ce que vos symptômes de faiblesse musculaire augmente avec la fatigue et/ou le stress?,Do your symptoms of muscle weakness increase with fatigue and/or stress?,fatigabilité_msk,,
fievre,fievre,B,Avez-vous objectivé ou ressenti de la fièvre?,Do you have a fever (either felt or measured with a thermometer)?,fievre,,
flushing,flushing,B,Est-ce que vos joues sont devenues rouges soudainement?,Did your cheeks suddenly turn red?,flushing,,
footnumb,footnumb,B,"Avez-vous des engourdissements, une perte de sensibilité ou des fourmillements dans les pieds?","Do you have numbness, loss of sensation or tingling in the feet?",footnumb,,
friss,friss,B,Avez-vous eu des frissons?,Have you had chills or shivers?,friss,,
g20,g20,B,Souffrez-vous de la maladie de parkinson?,Do you have Parkinson’s disease?,g20,,
gain_poids,gain_poids,B,Avez-vous pris du poids récemment?,Have you gained weight recently?,gain_poids,,
gorge_dlr,gorge_dlr,B,Avez-vous mal à la gorge?,Do you have a sore throat?,gorge_dlr,,
hernie_hiatale,hernie_hiatale,B,Avez-vous une hernie hiatale?,Do you have a hiatal hernia?,hernie_hiatale,,
histfammigraine,histfammigraine,B,Avez-vous déjà fait une migraine ou est-ce qu’un membre de votre famille est connu pour faire des migraines?,Have you ever had a migraine or is a member of your family known to have migraines?,histfammigraine,,
horm1,horm1,B,Prenez-vous des hormones?,Do you currently take hormones?,horm1,,
hosptisasm,hosptisasm,B,Avez-vous été hospitalisé pour une crise d’asthme dans la dernière année?,Have you been hospitalized for an asthma attack in the past year?,hosptisasm,,
hta,hta,B,Consultez-vous ou avez-vous été référé car votre tension artérielle est élevée?,Are you consulting because you have high blood pressure?,hta,,
hyponos,hyponos,B,Avez-vous une perte d’odorat accompagnant vos symptômes?,Have you lost your sense of smell?,hyponos,,
i10,i10,B,Souffrez-vous d’hypertension ou prenez-vous des médicaments pour traiter la haute pression?,Do you have high blood pressure or do you take medications to treat high blood pressure?,i10,,
i25.1,i25.1,B,Avez-vous déjà fait une crise de coeur ou faites-vous de l’angine?,Have you ever had a heart attack or do you have angina (chest pain)?,i25.1,,
i50,i50,B,Êtes-vous atteint d’insuffisance cardiaque?,Do you have heart failure?,i50,,
i60-i69,i60-i69,B,Avez-vous déjà fait un accident vasculaire cérébral ou AVC?,Have you ever had a stroke?,i60-i69,,
i73.9,i73.9,B,Avez-vous un problème de mauvaise circulation sanguine?,Do you have a problem with poor circulation?,i73.9,,
i80,i80,B,Avez-vous déjà fait une thrombophlébite profonde?,Have you ever had deep vein thrombosis (DVT)?,i80,,
immob1,immob1,B,Avez-vous été incapable de vous mobiliser ou vous lever plus de 3 jours consécutifs dans le dernier mois?,Have you been unable to move or get up for more than 3 consecutive days within the last 4 weeks?,immob1,,
impression_mort,impression_mort,B,Avez-vous l’impression que vous pourriez mourir ou que vous alliez mourir?,Do you feel like you are dying or were you afraid that you were about do die?,impression_mort,,
insp_siffla,insp_siffla,B,Avez-vous une inspiration sifflante après vos quintes de toux?,Do you wheeze while inhaling or is your breathing noisy after coughing spells?,insp_siffla,,
irc,irc,B,Souffrez-vous d’insuffisance rénale chronique?,Do you have chronic kidney failure?,irc,,
irritable,irritable,B,Êtes-vous plus irritable dernièrement ou avez-vous une humeur très changeante?,Are you more irritable or has your mood been very unstable recently?,irritable,,
itss_risque,itss_risque,B,Avez-vous eu des relations sexuelles non-protégées avec plus d’un partenaire dans les derniers 6 mois?,Have you had unprotected sex with more than one partner in the last 6 months?,itss_risque,,
j06.9,j06.9,B,"Avez-vous eu un rhume, au cours des 2 dernières semaines?",Have you had a cold in the last 2 weeks?,j06.9,,
j17_j18,"j17, j18",B,Avez-vous déjà fait une pneumonie?,Have you ever had pneumonia?,j17_j18,,
j32,j32,B,Avez-vous un diagnostic de sinusite chronique fait par un médecin?,Have you been diagnosed with chronic sinusitis?,j32,,
j33,j33,B,Avez-vous des polypes dans le nez?,Do you have polyps in your nose?,j33,,
j34.2,j34.2,B,Êtes-vous connu pour avoir une déviation du septum ou cloison nasal?,Do you have a deviated nasal septum?,j34.2,,
j44_j42,"j44, j42",B,Souffrez-vous de maladie pulmonaire obstructive chronique?,Do you have a chronic obstructive pulmonary disease (COPD)?,j44_j42,,
j45,j45,B,Souffrez-vous d’asthme ou avez vous déjà eu une prescription de bronchodilatateurs dans le passé?,Do you have asthma or have you ever had to use a bronchodilator in the past?,j45,,
k21,k21,B,Avez-vous déjà reçu un diagnostic de reflux gastro-oesophagien?,Have you ever been diagnosed with gastroesophageal reflux?,k21,,
k74,k74,B,Souffrez-vous de cirrhose hépatique?,Do you have liver cirrhosis?,k74,,
larmes,larmes,B,Avez-vous l’impression que votre oeil produit des larmes de façon excessive?,Do you feel that your eyes produce excessive tears?,larmes,,
laryngospasme,laryngospasme,B,Avez-vous eu l’impression que vous étouffiez pendant un court instant et que vous étiez incapable de respirer ou parler?,Have you ever felt like you were suffocating for a very short time associated with inability to breathe or speak?,laryngospasme,,
lesions_peau,lesions_peau,B,"Avez vous des lésions, rougeurs ou problèmes au niveau de votre peau que vous croyez être reliés à la condition pour laquelle vous consultez?","Do you have any lesions, redness or problems on your skin that you believe are related to the condition you are consulting for?",lesions_peau,,
lesions_peau_couleur,lesions_peau,C,De quelle couleur sont les lésions?,What color is the rash?,lesions_peau_couleur_@_NA,NA,NA
lesions_peau_couleur,lesions_peau,C,De quelle couleur sont les lésions?,What color is the rash?,lesions_peau_couleur_@_jaune,jaune,jaune
lesions_peau_couleur,lesions_peau,C,De quelle couleur sont les lésions?,What color is the rash?,lesions_peau_couleur_@_pale,pale,pale
lesions_peau_couleur,lesions_peau,C,De quelle couleur sont les lésions?,What color is the rash?,lesions_peau_couleur_@_rose,rose,rose
lesions_peau_couleur,lesions_peau,C,De quelle couleur sont les lésions?,What color is the rash?,lesions_peau_couleur_@_rouge,rouge,rouge
lesions_peau_desquame,lesions_peau,C,Est-ce que vos lésions pèlent (morceaux de peau qui se détachent)?,Do your lesions peel off?,lesions_peau_desquame_@_N,N,N
lesions_peau_desquame,lesions_peau,C,Est-ce que vos lésions pèlent (morceaux de peau qui se détachent)?,Do your lesions peel off?,lesions_peau_desquame_@_O,O,O
lesions_peau_elevee,lesions_peau,C,La ou les lésions sont-elles surélevées?,Is the rash swollen?,lesions_peau_elevee_@_0,0,0
lesions_peau_elevee,lesions_peau,C,La ou les lésions sont-elles surélevées?,Is the rash swollen?,lesions_peau_elevee_@_1,1,1
lesions_peau_elevee,lesions_peau,C,La ou les lésions sont-elles surélevées?,Is the rash swollen?,lesions_peau_elevee_@_2,2,2
lesions_peau_elevee,lesions_peau,C,La ou les lésions sont-elles surélevées?,Is the rash swollen?,lesions_peau_elevee_@_3,3,3
lesions_peau_elevee,lesions_peau,C,La ou les lésions sont-elles surélevées?,Is the rash swollen?,lesions_peau_elevee_@_4,4,4
lesions_peau_elevee,lesions_peau,C,La ou les lésions sont-elles surélevées?,Is the rash swollen?,lesions_peau_elevee_@_5,5,5
lesions_peau_elevee,lesions_peau,C,La ou les lésions sont-elles surélevées?,Is the rash swollen?,lesions_peau_elevee_@_6,6,6
lesions_peau_elevee,lesions_peau,C,La ou les lésions sont-elles surélevées?,Is the rash swollen?,lesions_peau_elevee_@_7,7,7
lesions_peau_endroitducorps,lesions_peau,M,À quel endroit est situé chaque lésion?,Where is the affected region located?,lesions_peau_endroitducorps_@_arrière_du_cou,arrière du cou,back of the neck
lesions_peau_endroitducorps,lesions_peau,M,À quel endroit est situé chaque lésion?,Where is the affected region located?,lesions_peau_endroitducorps_@_avant-bras_D_,avant-bras(D),forearm(R)
lesions_peau_endroitducorps,lesions_peau,M,À quel endroit est situé chaque lésion?,Where is the affected region located?,lesions_peau_endroitducorps_@_avant-bras_G_,avant-bras(G),forearm(L)
lesions_peau_endroitducorps,lesions_peau,M,À quel endroit est situé chaque lésion?,Where is the affected region located?,lesions_peau_endroitducorps_@_biceps_D_,biceps(D),biceps(R)
lesions_peau_endroitducorps,lesions_peau,M,À quel endroit est situé chaque lésion?,Where is the affected region located?,lesions_peau_endroitducorps_@_biceps_G_,biceps(G),biceps(L)
lesions_peau_endroitducorps,lesions_peau,M,À quel endroit est situé chaque lésion?,Where is the affected region located?,lesions_peau_endroitducorps_@_bouche,bouche,mouth
lesions_peau_endroitducorps,lesions_peau,M,À quel endroit est situé chaque lésion?,Where is the affected region located?,lesions_peau_endroitducorps_@_cartilage_thyroidien,cartilage thyroidien,thyroid cartilage
lesions_peau_endroitducorps,lesions_peau,M,À quel endroit est situé chaque lésion?,Where is the affected region located?,lesions_peau_endroitducorps_@_cheville_D_,cheville(D),ankle(R)
lesions_peau_endroitducorps,lesions_peau,M,À quel endroit est situé chaque lésion?,Where is the affected region located?,lesions_peau_endroitducorps_@_cheville_G_,cheville(G),ankle(L)
lesions_peau_endroitducorps,lesions_peau,M,À quel endroit est situé chaque lésion?,Where is the affected region located?,lesions_peau_endroitducorps_@_colonne_cervicale,colonne cervicale,cervical spine
lesions_peau_endroitducorps,lesions_peau,M,À quel endroit est situé chaque lésion?,Where is the affected region located?,lesions_peau_endroitducorps_@_colonne_dorsale,colonne dorsale,thoracic spine
lesions_peau_endroitducorps,lesions_peau,M,À quel endroit est situé chaque lésion?,Where is the affected region located?,lesions_peau_endroitducorps_@_colonne_lombaire,colonne lombaire,lumbar spine
lesions_peau_endroitducorps,lesions_peau,M,À quel endroit est situé chaque lésion?,Where is the affected region located?,lesions_peau_endroitducorps_@_commissure_D_,commissure(D),commissure(R)
lesions_peau_endroitducorps,lesions_peau,M,À quel endroit est situé chaque lésion?,Where is the affected region located?,lesions_peau_endroitducorps_@_commissure_G_,commissure(G),commissure(L)
lesions_peau_endroitducorps,lesions_peau,M,À quel endroit est situé chaque lésion?,Where is the affected region located?,lesions_peau_endroitducorps_@_cuisse_D_,cuisse(D),thigh(R)
lesions_peau_endroitducorps,lesions_peau,M,À quel endroit est situé chaque lésion?,Where is the affected region located?,lesions_peau_endroitducorps_@_cuisse_G_,cuisse(G),thigh(L)
lesions_peau_endroitducorps,lesions_peau,M,À quel endroit est situé chaque lésion?,Where is the affected region located?,lesions_peau_endroitducorps_@_côté_du_cou_D_,côté du cou(D),side of the neck(R)
lesions_peau_endroitducorps,lesions_peau,M,À quel endroit est situé chaque lésion?,Where is the affected region located?,lesions_peau_endroitducorps_@_côté_du_cou_G_,côté du cou(G),side of the neck(L)
lesions_peau_endroitducorps,lesions_peau,M,À quel endroit est situé chaque lésion?,Where is the affected region located?,lesions_peau_endroitducorps_@_dessus_de_la_langue,dessus de la langue,above the tongue
lesions_peau_endroitducorps,lesions_peau,M,À quel endroit est situé chaque lésion?,Where is the affected region located?,lesions_peau_endroitducorps_@_face_dorsale_main_D_,face dorsale main(D),dorsal aspect of the hand(R)
lesions_peau_endroitducorps,lesions_peau,M,À quel endroit est situé chaque lésion?,Where is the affected region located?,lesions_peau_endroitducorps_@_face_dorsale_main_G_,face dorsale main(G),dorsal aspect of the hand(L)
lesions_peau_endroitducorps,lesions_peau,M,À quel endroit est situé chaque lésion?,Where is the affected region located?,lesions_peau_endroitducorps_@_fesse_D_,fesse(D),buttock(R)
lesions_peau_endroitducorps,lesions_peau,M,À quel endroit est situé chaque lésion?,Where is the affected region located?,lesions_peau_endroitducorps_@_fesse_G_,fesse(G),buttock(L)
lesions_peau_endroitducorps,lesions_peau,M,À quel endroit est situé chaque lésion?,Where is the affected region located?,lesions_peau_endroitducorps_@_flanc_D_,flanc(D),flank(R)
lesions_peau_endroitducorps,lesions_peau,M,À quel endroit est situé chaque lésion?,Where is the affected region located?,lesions_peau_endroitducorps_@_flanc_G_,flanc(G),flank(L)
lesions_peau_endroitducorps,lesions_peau,M,À quel endroit est situé chaque lésion?,Where is the affected region located?,lesions_peau_endroitducorps_@_fosse_iliaque_D_,fosse iliaque(D),iliac fossa(R)
lesions_peau_endroitducorps,lesions_peau,M,À quel endroit est situé chaque lésion?,Where is the affected region located?,lesions_peau_endroitducorps_@_fosse_iliaque_G_,fosse iliaque(G),iliac fossa(L)
lesions_peau_endroitducorps,lesions_peau,M,À quel endroit est situé chaque lésion?,Where is the affected region located?,lesions_peau_endroitducorps_@_front,front,forehead
lesions_peau_endroitducorps,lesions_peau,M,À quel endroit est situé chaque lésion?,Where is the affected region located?,lesions_peau_endroitducorps_@_gencive_inférieure,gencive inférieure,lower gum
lesions_peau_endroitducorps,lesions_peau,M,À quel endroit est situé chaque lésion?,Where is the affected region located?,lesions_peau_endroitducorps_@_gencive_supérieure,gencive supérieure,upper gum
lesions_peau_endroitducorps,lesions_peau,M,À quel endroit est situé chaque lésion?,Where is the affected region located?,lesions_peau_endroitducorps_@_grande_lèvre_D_,grande lèvre(D),labia majora(R)
lesions_peau_endroitducorps,lesions_peau,M,À quel endroit est situé chaque lésion?,Where is the affected region located?,lesions_peau_endroitducorps_@_grande_lèvre_G_,grande lèvre(G),labia majora(L)
lesions_peau_endroitducorps,lesions_peau,M,À quel endroit est situé chaque lésion?,Where is the affected region located?,lesions_peau_endroitducorps_@_joue_D_,joue(D),cheek(R)
lesions_peau_endroitducorps,lesions_peau,M,À quel endroit est situé chaque lésion?,Where is the affected region located?,lesions_peau_endroitducorps_@_joue_G_,joue(G),cheek(L)
lesions_peau_endroitducorps,lesions_peau,M,À quel endroit est situé chaque lésion?,Where is the affected region located?,lesions_peau_endroitducorps_@_joue_interne_D_,joue interne(D),internal cheek(R)
lesions_peau_endroitducorps,lesions_peau,M,À quel endroit est situé chaque lésion?,Where is the affected region located?,lesions_peau_endroitducorps_@_joue_interne_G_,joue interne(G),internal cheek(L)
lesions_peau_endroitducorps,lesions_peau,M,À quel endroit est situé chaque lésion?,Where is the affected region located?,lesions_peau_endroitducorps_@_lèvre_inferieure_D_,lèvre inferieure(D),bottom lip(R)
